GAJ,Garges Sarcelles,48.976571,2.390283,
GAQ,Garancières La Queue,48.810547,1.764949,
GAW,La Défense Grande Arche,48.891903,2.238350,
GBG,Grand Bourg,48.647888,2.436234,
GBI,Gravigny Balizy,48.685317,2.317846,
GCM,Guérard la Celle sur Morin,48.810623,2.954752,
GCR,Achères Grand Cormier,48.955185,2.091935,
GDS,Paris Nord,48.879917,2.356664,
GEN,Gennevilliers,48.933727,2.306896,
GGG,Grigny Centre,48.654442,2.396533,
GGV,Gargenville,48.983189,1.808899,
GIF,Gif sur Yvette,48.698040,2.137697,
GIS,Gisors,49.285259,1.785048,
GMC,Garches Marnes la Coquette,48.838413,2.186810,
GN,Gagny,48.883209,2.526827,
GNX,Gros Noyer Saint-Prix,48.996910,2.258795,
GOU,Goussainville,49.024015,2.463220,
GPA,La Grande Paroisse,48.378937,2.897095,
GRL,Groslay,48.984330,2.353323,
GTL,Gentilly,48.815155,2.340851,
GU,Guillerval,48.374531,2.060147,
GUW,Le Guichet,48.705734,2.191256,
GYN,Paris Gare de Lyon,48.844486,2.373180,
GZ,Gretz Armainvilliers,48.745485,2.728193,
GZA,Gazeran,48.626049,1.772070,
HAQ,La Hacquinière,48.694912,2.152923,
HAR,Houilles Carrières sur Seine,48.920361,2.184894,
HER,Héricy,48.442772,2.760543,
HOA,Houdan,48.796011,1.602529,
HRY,Herblay,48.990191,2.162085,
HSL,Haussmann Saint-Lazare,48.876920,2.325458,
IAC,Isles Armentières Congis,48.998386,3.007584,
IAP,L'Isle Adam Parmain,49.116539,2.210387,
IBM,Le Plessis Chenet,48.573419,2.479545,
IGY,Igny,48.739990,2.231042,
INV,Invalides,48.862818,2.314184,
IPO,Issou Porcheville,48.979259,1.785429,
ISP,Issy Val de Seine,48.829432,2.263157,
ISY,Issy,48.820015,2.259014,
IV,Ivry sur Seine,48.814476,2.391135,
JAS,Jouy en Josas,48.764722,2.163858,
JUZ,Juziers,48.992287,1.845876,
JVL,Javel,48.846218,2.276833,
JVR,Joinville le Pont,48.821121,2.464101,
JY,Juvisy,48.689495,2.382600,
KOU,Courbevoie,48.898460,2.248975,
KRW,Montgeron Crosne,48.708256,2.462224,
KVE,Les Clairières de Verneuil,48.992237,1.955244,
LAD,Les Ardoines,48.782848,2.408950,
LBJ,La Barre Ormesson,48.966415,2.316728,
LBT,Le Bourget,48.930374,2.425845,
LCB,La Celle Saint-Cloud,48.842670,2.138194,
LDU,La Défense Grande Arche,48.891661,2.239693,
LEG,Les Grésillons,48.920017,2.314484,
LFA,La Ferté Alais,48.484634,2.351719,
LFC,Louveciennes,48.861217,2.123124,
LFJ,La Ferté sous Jouarre,48.950745,3.125608,
LFM,La Ferté Milon,49.179558,3.121028,
LGK,La Garenne Colombes,48.909443,2.239916,
LGY,Lagny Thorigny,48.881983,2.704127,
LIE,Saint-Ouen l'Aumône Liesse,49.033840,2.127847,
LIM,Limay,48.984272,1.747280,
LIU,Lieusaint Moissy,48.628405,2.569640,
LJA,Laplace,48.808193,2.333398,
LJU,Longjumeau,48.702084,2.294400,
LMU,Les Mureaux,48.992485,1.913387,
LNX,Les Noues,49.032196,2.476481,
LON,Longueville,48.513439,3.250014,
LOV,Louvres,49.049370,2.501947,
LPE,Le Perray,48.693268,1.856477,
